escenario,metodo,base,n_replicas,delta_mse_promedio,delta_mse_error_estandar,delta_mse_ic_inferior,delta_mse_ic_superior,delta_mse_mejora,delta_mse_empeora,delta_mae_promedio,delta_mae_error_estandar,delta_mae_ic_inferior,delta_mae_ic_superior,delta_mae_mejora,delta_mae_empeora,delta_mape_promedio,delta_mape_error_estandar,delta_mape_ic_inferior,delta_mape_ic_superior,delta_mape_mejora,delta_mape_empeora,proporcion_contaminacion,magnitud_contaminacion,ubicacion_contaminacion
p20_m2_temprana,ponderado,clasico,1000,194309.15997421384,26594.256093515698,142184.41803092306,246433.9019175046,False,True,63.38225110742588,7.827544239353224,48.04026439829356,78.7242378165582,False,True,0.04203553377214015,0.00475471460127531,0.032716293153640545,0.051354774390639756,False,True,0.2,2.0,temprana
p20_m2_temprana,truncada,clasico,1000,1023193.7665048437,115629.25019990747,796560.4361130251,1249827.0968966624,False,True,289.22117215905837,19.382099996777754,251.23225616537397,327.21008815274274,False,True,0.18690775187774783,0.011617975909813984,0.16413651909451243,0.20967898466098323,False,True,0.2,2.0,temprana
p20_m5_aleatoria,mediana,clasico,1000,-3797386.7374649057,517876.4061075293,-4812424.493435663,-2782348.9814941483,True,False,-458.2367265329159,34.790154050653506,-526.4254284721968,-390.04802459363503,True,False,-0.28723209887599044,0.021595230666343775,-0.32955875098202425,-0.24490544676995663,True,False,0.2,5.0,aleatoria
p20_m5_aleatoria,ponderado,clasico,1000,-716030.9983039072,515895.50005291554,-1727186.1784076216,295124.18179980724,False,False,-55.11296922978086,29.548536634075106,-113.02810103256806,2.802162573006349,False,False,-0.03458710537173848,0.01844778820433787,-0.07074477025224071,0.0015705595087637456,False,False,0.2,5.0,aleatoria
p20_m5_aleatoria,truncada,clasico,1000,22022294.879256643,1995507.0196558766,18111101.120731127,25933488.63778216,False,True,1888.1792901654912,67.51378289204584,1755.8522756970815,2020.506304633901,False,True,1.1715727910890894,0.04251776962982886,1.0882379626146248,1.254907619563554,False,True,0.2,5.0,aleatoria
p20_m5_tardia,mediana,clasico,1000,-2264954.6145891044,309877.78096330276,-2872315.065277178,-1657594.163901031,True,False,-367.0243194220513,21.596420725926567,-409.35330404486734,-324.69533479923524,True,False,-0.2336221621575778,0.013295400537079002,-0.25968114721025265,-0.20756317710490296,True,False,0.2,5.0,tardia
p20_m5_tardia,ponderado,clasico,1000,-759679.4438474495,297224.18120115035,-1342238.839001704,-177120.04869319487,True,False,-176.85956708465093,17.810921617116897,-211.76897345420005,-141.95016071510182,True,False,-0.11265552201555165,0.011021618079116226,-0.13425789345061945,-0.09105315058048385,True,False,0.2,5.0,tardia
p20_m5_tardia,truncada,clasico,1000,7118009.364314148,1101046.8756322884,4959957.488074863,9276061.240553433,False,True,667.4745742675464,37.23219421364816,594.4994736087959,740.4496749262968,False,True,0.41407053798691057,0.022970783023510185,0.3690478032608306,0.45909327271299055,False,True,0.2,5.0,tardia
p20_m5_temprana,mediana,clasico,1000,119035.0480314231,304295.5234173846,-477384.1778666506,715454.2739294969,False,False,19.74206033687542,24.468016883581928,-28.215252754945162,67.69937342869599,False,False,0.0104876888235631,0.01531549684469773,-0.019530684992044453,0.04050606263917065,False,False,0.2,5.0,temprana
p20_m5_temprana,ponderado,clasico,1000,1459812.0384851918,335438.4491068586,802352.678235749,2117271.3987346347,False,True,187.53408385326279,26.941240864743786,134.72925175836497,240.3389159481606,False,True,0.1202935634693646,0.016737548470677988,0.08748796846683574,0.15309915847189345,False,True,0.2,5.0,temprana
p20_m5_temprana,truncada,clasico,1000,10390307.730375007,1306589.4393845103,7829392.429181367,12951223.031568646,False,True,1057.2883153788016,59.94301373760908,939.8000084530878,1174.7766223045153,False,True,0.6767457159385614,0.040759289021999,0.5968575094554434,0.7566339224216794,False,True,0.2,5.0,temprana
p5_m10_aleatoria,mediana,clasico,1000,-4597028.908745493,1126600.5982008313,-6805166.081219122,-2388891.7362718633,True,False,-510.493418913897,41.89716999352284,-592.6118721012018,-428.3749657265922,True,False,-0.3147017680068722,0.026389971058298493,-0.3664261112811373,-0.26297742473260716,True,False,0.05,10.0,aleatoria
p5_m10_aleatoria,ponderado,clasico,1000,-2726855.179045423,945261.85710777,-4579568.418976652,-874141.9391141937,True,False,-338.92060309320766,38.00965248577322,-413.41952196532316,-264.42168422109216,True,False,-0.20575961099948287,0.024223169809142048,-0.25323702382540125,-0.15828219817356445,True,False,0.05,10.0,aleatoria
p5_m10_aleatoria,truncada,clasico,1000,14304294.653014893,2363096.8987861285,9672624.731394082,18935964.574635703,False,True,1108.9868295263368,57.74594149806799,995.8047841901235,1222.1688748625502,False,True,0.6904845093513275,0.036370421684289424,0.6191984828501202,0.7617705358525348,False,True,0.05,10.0,aleatoria
p5_m10_tardia,mediana,clasico,1000,-512687.77985350334,216853.40122027436,-937720.4462452411,-87655.11346176558,True,False,-115.41180135132807,14.681576228841564,-144.18769075985753,-86.6359119427986,True,False,-0.07729962208295049,0.008921522416262708,-0.0947858060188254,-0.059813438147075584,True,False,0.05,10.0,tardia
p5_m10_tardia,ponderado,clasico,1000,1070713.3632082345,574109.5159303201,-54541.28801519284,2195968.014431662,False,False,-20.716084277596202,15.968539450896063,-52.01442160135248,10.58225304616008,False,False,-0.01627753194858375,0.009670951860501988,-0.03523259759516765,0.0026775336980001466,False,False,0.05,10.0,tardia
